name, full_name, valid, irrelevant, missing, invalid, cpp, cs, objc, go, java, coffee, js, ts, ruby, php, python, perl, clojure, erlang, haskell, scala 
"RedPhone","McLoo/RedPhone",93,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"roundcubemail","MelissaKincheloe/roundcubemail",3767,3414,871,0,4,0,0,0,0,0,354,0,0,586,0,0,0,0,0,0
"hesokuri","MerelyAPseudonym/hesokuri",182,35,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"gocode","MerlinDMC/gocode",378,140,16,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0
"namecoin","Midar/namecoin",558,158,103,0,98,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0
"giter8","MonsantoCo/giter8",192,125,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"AndEngine","Munazza/AndEngine",1603,75,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scoobi","NICTA/scoobi",1328,200,97,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,91
"pattern","Rbud/pattern",671,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"anchor-cms","NathanLawrence/anchor-cms",883,90,21,0,0,0,0,0,0,0,4,0,0,19,0,0,0,0,0,0
"shotcut","NeilBryant/shotcut",645,215,14,0,8,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0
"fmdb","Onetaway/fmdb",148,45,32,0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ground","OptimalBits/ground",1240,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PHPExcel","PHPOffice/PHPExcel",689,141,51,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0
"ink","PeoplePerHour/ink",50,111,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
"pokerth","Pik-9/pokerth",2849,648,109,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"razor-qt","Razor-qt/razor-qt",1441,453,63,0,58,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0
"Rex","RexOps/Rex",37,307,1410,0,0,0,0,0,0,0,0,0,0,0,0,1410,0,0,0,0
"nhibernate-core","RogerKratz/nhibernate-core",5455,1092,252,0,0,251,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Twig","rvanlaak/Twig",1339,581,54,0,9,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0
"sync","SCDependencies/sync",60,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MiniProfiler","SamSaffron/MiniProfiler",550,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ServiceStack","ServiceStack/ServiceStack",2544,1034,94,0,0,93,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"mailcheck","Shopify/mailcheck",34,34,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"oj","Shopify/oj",339,52,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"grunt-ts","Softpagehomeware/grunt-ts",95,70,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"WebAPIContrib","TerraVenil/WebAPIContrib",158,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"doozerd","UpstandingHackers/doozerd",1357,241,11,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0
"distributed-process","VicNumber21/distributed-process",592,117,46,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,41,0
"django-social-auth","VishvajitP/django-social-auth",938,266,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"glue","WillsB3/glue",166,149,39,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0
"clank","Wolfr/clank",56,168,18,0,0,0,0,0,0,2,1,0,7,9,0,0,0,0,0,0
"monodroid-samples","XamarinClone/monodroid-samples",373,268,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"phpunit","9040044/phpunit",3357,926,284,0,0,0,0,0,0,0,18,0,0,268,0,0,0,0,0,0
"browser-diet","zenorocha/browser-diet",34,570,18,0,0,0,0,0,0,0,12,0,0,0,7,0,0,0,0,0
"aleph","ztellman/aleph",537,54,87,0,0,0,0,0,0,0,1,0,0,0,0,0,86,0,0,0
"lamina","ztellman/lamina",575,20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
